city,lat,lng
Tokyo,35.6839,139.7744
Jakarta,-6.2146,106.8451
Manila,14.6,120.9833
Seoul,37.56,126.99
Mexico City,19.4333,-99.1333
Cairo,30.0444,31.2358
Beijing,39.904,116.4075
Moscow,55.7558,37.6178
Bangkok,13.75,100.5167
Dhaka,23.7289,90.3944
Buenos Aires,-34.5997,-58.3819
Kinshasa,-4.3317,15.3139
Tehran,35.7,51.4167
London,51.5072,-0.1275
Paris,48.8566,2.3522
Lima,-12.06,-77.0375
Luanda,-8.8383,13.2344
Kuala Lumpur,3.1478,101.6953
Hanoi,21.0245,105.8412
Bogotá,4.6126,-74.0705
Dar es Salaam,-6.8,39.2833
Hong Kong,22.3069,114.1831
Santiago,-33.45,-70.6667
Riyadh,24.65,46.71
Baghdad,33.35,44.4167
Khartoum,15.6031,32.5265
Madrid,40.4167,-3.7167
Nairobi,-1.2864,36.8172
Rangoon,16.795,96.16
Washington,38.9047,-77.0163
Singapore,1.3,103.8
Abidjan,5.3364,-4.0267
Kabul,34.5328,69.1658
Amman,31.95,35.9333
Berlin,52.5167,13.3833
Algiers,36.7764,3.0586
Addis Ababa,9.0272,38.7369
Brasília,-15.7939,-47.8828
Kuwait City,29.375,47.98
Kyiv,50.45,30.5236
Sanaa,15.35,44.2
Guatemala City,14.6099,-90.5252
Rome,41.8931,12.4828
La Paz,-16.4942,-68.1475
Pyongyang,39.03,125.73
Antananarivo,-18.9386,47.5214
Santo Domingo,18.4764,-69.8933
Tashkent,41.3,69.2667
Ouagadougou,12.3686,-1.5275
Yaoundé,3.8578,11.5181
Accra,5.6037,-0.187
Baku,40.3667,49.8352
Harare,-17.8292,31.0522
Havana,23.1367,-82.3589
Phnom Penh,11.5696,104.921
Mogadishu,2.0408,45.3425
Bamako,12.6458,-7.9922
Quito,-0.22,-78.5125
Minsk,53.9022,27.5618
Caracas,10.5,-66.9333
Vienna,48.2083,16.3725
Bucharest,44.4,26.0833
Brazzaville,-4.2667,15.2833
Warsaw,52.23,21.0111
Damascus,33.5131,36.2919
Brussels,50.8353,4.3314
Lusaka,-15.4167,28.2833
Budapest,47.4983,19.0408
Conakry,9.538,-13.6773
Kampala,0.3136,32.5811
Abu Dhabi,24.4511,54.3969
Muscat,23.6139,58.5922
Ulaanbaatar,47.9214,106.9055
Belgrade,44.8167,20.4667
Prague,50.0833,14.4167
Montevideo,-34.8667,-56.1667
Sofia,42.6979,23.3217
Abuja,9.0556,7.4914
Maputo,-25.9153,32.5764
Doha,25.3,51.5333
Dakar,14.7319,-17.4572
Nay Pyi Taw,19.7475,96.115
Kigali,-1.9536,30.0606
Tripoli,32.8752,13.1875
Tegucigalpa,14.0942,-87.2067
Tbilisi,41.7225,44.7925
N’Djamena,12.11,15.05
Copenhagen,55.6805,12.5615
Yerevan,40.1814,44.5144
Nur-Sultan,51.1333,71.4333
Nouakchott,18.0858,-15.9785
Bishkek,42.8667,74.5667
Tunis,36.8008,10.18
Kathmandu,27.7167,85.3667
Niamey,13.5086,2.1111
Managua,12.15,-86.2667
Monrovia,6.3106,-10.8047
Port-au-Prince,18.5425,-72.3386
Islamabad,33.6989,73.0369
Ottawa,45.4247,-75.695
Stockholm,59.3294,18.0686
Asmara,15.3333,38.9167
Freetown,8.4833,-13.2331
Vientiane,17.9667,102.6
Jerusalem,31.7801,35.2213
Bangui,4.3732,18.5628
Panama City,9.0,-79.5
Amsterdam,52.3667,4.8833
Lomé,6.1319,1.2228
Libreville,0.3901,9.4544
Zagreb,45.8131,15.9772
Dushanbe,38.5731,68.7864
Lilongwe,-13.9833,33.7833
Cotonou,6.402,2.518
Colombo,6.9167,79.8333
Pretoria,-25.7464,28.1881
Oslo,59.9111,10.7528
