x,y
-150.04740659720534,-150.04740659720534
-150.10273839575922,-150.10273839575922
-150.01998401320856,-150.01998401320856
-149.92060596943753,-149.92060596943753
-149.83980163853326,-149.83980163853326
-149.7377170182943,-149.7377170182943
-149.8732771201546,-149.8732771201546
-149.83378099983335,-149.83378099983335
-149.92416568461795,-149.92416568461795
-149.72574760352475,-149.72574760352475
-149.67186326046829,-149.67186326046829
-149.62247168133445,-149.62247168133445
-149.70136609422264,-149.70136609422264
-149.5977516052494,-149.5977516052494
-149.4781363900384,-149.4781363900384
-149.71350012470046,-149.71350012470046
-149.49593722032822,-149.49593722032822
-149.47821046661844,-149.47821046661844
-149.5333120927707,-149.5333120927707
-149.48898470410572,-149.48898470410572
-149.40196806253962,-149.40196806253962
-149.43180710483165,-149.43180710483165
-149.2552224415876,-149.2552224415876
-149.3417001334438,-149.3417001334438
-149.33624881903958,-149.33624881903958
-149.32852573166474,-149.32852573166474
-149.36461052467493,-149.36461052467493
-149.1808690098263,-149.1808690098263
-149.35409929321312,-149.35409929321312
-149.18528846312537,-149.18528846312537
-149.120861608757,-149.120861608757
-149.08778000542063,-149.08778000542063
-149.11859142820703,-149.11859142820703
-148.9746050988302,-148.9746050988302
-149.00095908614855,-149.00095908614855
-148.9124719647205,-148.9124719647205
-148.88743901276854,-148.88743901276854
-148.8728630783867,-148.8728630783867
-148.63741023135512,-148.63741023135512
-148.94441162167217,-148.94441162167217
-148.72242037596797,-148.72242037596797
-148.76930228993905,-148.76930228993905
-148.75242200584853,-148.75242200584853
-148.8758703797516,-148.8758703797516
-148.79534366253768,-148.79534366253768
-148.66794895237823,-148.66794895237823
-148.75265291177448,-148.75265291177448
-148.53210185888898,-148.53210185888898
-148.61361874901212,-148.61361874901212
-148.35999927645025,-148.35999927645025
-148.65553328832678,-148.65553328832678
-148.59109613201636,-148.59109613201636
-148.3405583809617,-148.3405583809617
-148.36146106803977,-148.36146106803977
-148.43047086613646,-148.43047086613646
-148.2406287078866,-148.2406287078866
