plate,road,speed
DN9166SU,R87,49.7
CG4862ZS,R87,49.4
DV4956AM,R87,49.9
TL4125OA,R87,51.3
LX3827BI,R87,48.1
GU8767QY,R87,45.0
HC6770BW,R87,47.3
WE9721HZ,R87,49.8
GC2585FZ,R87,47.0
IK3875VF,R87,45.3
DS2280UI,R87,47.6
AO7213MY,R87,48.2
FJ2634VO,R87,44.0
HU9122CI,R87,48.4
AD6895TQ,R87,47.0
HP5144TZ,R87,45.0
VQ3973YM,R87,47.1
NY2958VJ,R87,46.3
VF1756SL,R87,49.0
QM5455CZ,R87,47.8
PY5435RI,R87,47.9
HG7189VO,R87,48.7
OV5062QC,R87,48.7
DM6210JC,R87,48.2
KP9545YT,R87,49.6
XU1095QX,R87,43.6
BN7144WZ,R87,50.0
ZY7097PI,R87,49.1
UG2552CT,R87,50.3
ZL4114EC,R87,47.0
YU2609PI,R87,48.4
IH3501IF,R87,48.5
VC9660KT,R87,48.6
CZ3818EQ,R87,52.2
KD3034PX,R87,48.4
SS3653RT,R87,49.7
HL3139TB,R87,46.9
UV1932OG,R87,45.9
KW2206ZK,R87,49.4
RA1486WJ,R87,50.8
RS2865MF,R87,47.9
VH6867LE,R87,48.3
RX9432FG,R87,49.9
PU2977TP,R87,47.7
UT8333IU,R87,47.8
LH5851VB,R87,45.8
BE4308ZM,R87,49.8
OM4748TW,R87,50.2
MP8232HU,R87,46.2
XA2905NO,R87,47.5
IV2900NK,R87,44.5
AY6084DX,R87,47.7
MC2416II,R87,43.0
HT4154KW,R87,50.6
SO9863RI,R87,43.4
ZL7923MD,R87,49.3
QF6992SI,R87,50.2
CF5312LG,R87,48.2
TF6016GD,R87,47.1
IG6049MN,R87,48.4
LV7631EX,R87,45.2
EZ1384MB,R87,47.9
CY7778PD,R87,47.5
OC5325PP,R87,48.7
VO2589CM,R87,44.9
RB7756MS,R87,49.4
CA8710JB,R87,44.5
ED6265HH,R87,49.9
MK5028BM,R87,47.9
HO6703ES,R87,49.2
EX3991QD,R87,49.9
QX8816FN,R87,44.3
NW1965JL,R87,46.4
HE5450RN,R87,47.5
BD2828XH,R87,47.1
RJ5399RH,R87,47.8
XL1167SU,R87,45.8
LQ7433RA,R87,51.5
SK5452XA,R87,47.4
MA3524TR,R87,47.6
FW5475TA,R87,49.8
SQ6800EG,R87,46.4
XF2664XN,R87,45.3
MM8791ZO,R87,45.7
HR6581CS,R87,46.6
IY9198ZP,R87,49.4
PN4466WA,R87,49.1
FY1147SR,R87,48.2
JU7372JV,R87,49.5
PS9073VS,R87,47.8
JP1748PF,R87,44.7
SZ5029KN,R87,46.9
HP6415GU,R87,49.4
TU4318DD,R87,49.0
RY3575TA,R87,46.7
KJ1066PJ,R87,48.2
SZ8169WS,R87,47.0
UC1000FT,R87,49.4
WJ8453UB,R87,50.1
YM7370RD,R87,51.8
NF7824OX,R87,46.1
FL7141VB,R87,51.1
JS1085IU,R87,49.7
YB1816NS,R87,47.5
YW9889PK,R87,45.4
JE4988SO,R87,47.2
UA6210UU,R87,46.4
CC2837DM,R87,48.0
JA1745SS,R87,48.6
II8186SD,R87,48.5
MV7663ZI,R87,48.9
MJ4614ZL,R87,49.2
EB5027AZ,R87,47.7
AP4580CK,R87,50.0
XP9514DV,R87,49.4
OC5545HO,R87,44.5
EJ1082CV,R87,45.4
DI9427IH,R87,46.7
IB4269VA,R87,48.5
AJ8473BQ,R87,49.2
VA6406VT,R87,48.9
YP2186ZU,R87,47.4
JS2104DW,R87,48.9
XN9601XL,R87,48.4
EN8471VX,R87,48.9
QI7393AM,R87,45.9
AA2473OV,R87,46.8
UU9520EO,R87,48.6
CW5458CO,R87,42.4
TX8423UG,R87,49.5
ND7003TR,R87,48.9
NH8754JG,R87,49.2
KJ5353YW,R87,49.1
BR9626ZT,R87,47.2
TS2357VB,R87,47.5
MY4823PR,R87,48.5
WS1163VK,R87,49.7
HH6839ZM,R87,46.6
EV2432EA,R87,48.8
CK8842JL,R87,50.5
IV9420NF,R87,49.5
PY4639LW,R87,47.9
IS9261EI,R87,46.1
NT2218FX,R87,43.4
OR1809GR,R87,47.2
BI8570VH,R87,47.6
QV2310QX,R87,46.2
UH1955JG,R87,45.1
MK8077BX,R87,48.3
CB7096DG,R87,49.5
UL8640ZQ,R87,47.1
SY4319XD,R87,46.1
RK9499UB,R87,46.6
BL4133FX,R87,50.5
KD3092PA,R87,49.1
TT8369II,R87,49.4
TQ4786IQ,R87,46.9
OS7472TQ,R87,51.6
EA2569OJ,R87,43.3
MB2296TR,R87,49.8
AG9656PT,R87,49.4
XE9327JK,R87,45.2
HD5510DT,R87,47.1
LV4440PI,R87,49.5
GH6178GC,R87,52.5
OF9072MV,R87,51.4
AI9541KA,R87,46.4
IH7103JA,R87,49.2
ZN4602HS,R87,49.6
OD8524WF,R87,49.1
BK2436MZ,R87,45.1
ZQ3119QT,R87,49.6
KA6144BM,R87,48.4
OX7163VH,R87,46.5
YQ6297TT,R87,51.0
AA8852NJ,R87,49.8
DG7849FG,R87,45.4
GO7682CJ,R87,49.7
GY2800EY,R87,45.9
EN1613RL,R87,47.9
QL6589ME,R87,48.9
BJ4818HP,R87,49.0
AM1967TR,R87,46.4
GT8088PB,R87,49.1
VM1055EY,R87,49.1
HP5920KV,R87,46.6
GJ9139EN,R87,49.0
RP9667FS,R87,46.4
XB2822GF,R87,46.4
UP6400YF,R87,43.0
MN8278QO,R87,47.3
PQ1108HX,R87,49.5
DX5037EL,R87,43.0
FO4718KA,R87,45.8
NO5618IJ,R87,47.5
QU4883HJ,R87,47.7
TE6140XY,R87,49.0
CU5351PY,R87,46.2
XG5618QO,R87,46.2
UN5513CD,R87,47.7
UY1859HN,R87,47.6
BB8324RG,R87,49.5
IK6816AB,R87,47.2
DT2525LK,R87,49.0
BK8429QM,R87,49.4
LY8669VR,R87,43.9
KL8843OC,R87,47.8
FQ3328LG,R87,48.8
QQ8832HR,R87,44.5
DO3565XS,R87,50.0
GB1207JC,R87,48.1
YA9474OC,R87,49.8
AY3418OF,R87,45.0
BW2516XE,R87,49.1
IO2988UU,R87,46.3
BL6506BY,R87,47.0
DB8174NT,R87,47.1
RD4819UB,R87,49.1
XU4026FH,R87,45.2
NA7039YQ,R87,50.2
GY9470OU,R87,47.8
BD5421WT,R87,47.3
FR5231KX,R87,47.8
HJ7481WR,R87,49.7
VP5587RC,R87,48.7
NX3408WD,R87,47.5
EF7640ZQ,R87,47.4
DH3492PV,R87,53.5
GT6652AX,R87,49.6
KZ2382LW,R87,40.7
WT4055DG,R87,45.6
JD6849KE,R87,48.6
EZ1609AI,R87,50.2
YE2094MV,R87,48.6
EF2432XA,R87,48.5
NY9429FC,R87,49.3
CC7134SB,R87,45.9
PY6584YO,R87,47.0
FT7871ND,R87,49.1
CT7014FZ,R87,47.1
MX7933FS,R87,51.4
TY2284IB,R87,49.2
LU5415ZQ,R87,47.5
AI1469DP,R87,48.1
FI9557MN,R87,48.3
UA7535SD,R87,50.6
CY6996PE,R87,45.5
VW8521JF,R87,47.5
GH1870SQ,R87,47.7
QE8352WF,R87,45.4
VG7196IF,R87,48.0
EH3641CB,R87,46.0
OA9497IS,R87,46.2
SH8078ER,R87,49.2
WW2054FS,R87,45.6
FN1175VP,R87,49.8
MB3283LC,R87,47.4
BL2531HJ,R87,49.3
HS4826OL,R87,42.4
KQ4453QE,R87,44.5
JA8086CQ,R87,50.9
OH5245HL,R87,49.3
EN6484HC,R87,50.6
ID3903AY,R87,48.2
ZV7208VP,R87,47.8
LU2033SO,R87,49.5
OU1711QO,R87,45.8
DP2868JP,R87,49.0
XL6531MT,R87,49.1
UY7333NQ,R87,46.2
WO7206ED,R87,50.7
UO6631LW,R87,50.1
AM9632CX,R87,46.5
IT4031MU,R87,48.9
WW1854YW,R87,49.8
OS1647QL,R87,45.9
MF2504ST,R87,48.5
ZW1992AI,R87,48.7
TQ6200QW,R87,45.5
EW3202CV,R87,49.0
TL4515MV,R87,43.9
QJ9627VE,R87,50.4
MA6279AT,R87,48.7
YM4500SJ,R87,47.7
LP7439YZ,R87,47.1
PH4204XC,R87,47.9
LC8842RZ,R87,45.8
FF6837WV,R87,48.0
QD2616DX,R87,48.9
XZ3484DX,R87,45.6
JT8628BQ,R87,49.7
LF6989KX,R87,45.9
NR8039IC,R87,44.5
EC1927RJ,R87,49.8
JW4688AK,R87,46.9
JL8796DS,R87,48.9
SP5980PZ,R87,48.8
IJ7883MC,R87,48.1
WF2636PF,R87,47.8
LZ8255NB,R87,48.8
TW8689NZ,R87,47.3
SZ7936QB,R87,47.4
IS2236KR,R87,46.8
MR3288RT,R87,47.9
KI5525EZ,R87,45.7
SP7590KJ,R87,49.6
SR8015NU,R87,48.1
NR4637DE,R87,47.6
AX1564LL,R87,48.1
RH4878WY,R87,46.8
CS6313IA,R87,50.5
AE6013JK,R87,48.0
XD3131PG,R87,48.4
NA6336FQ,R87,46.7
OY8903PU,R87,47.8
GO3716HP,R87,49.8
TH5643NY,R87,49.4
DW9280XH,R87,48.4
XD4151HD,R87,44.0
KH5326DT,R87,48.4
JF8246PF,R87,45.5
XL9819WK,R87,45.0
AN5951BE,R87,44.1
CX6302GN,R87,48.6
VF7700KS,R87,50.9
CZ6653RU,R87,49.6
NR4520SV,R87,46.3
SP5178XM,R87,49.3
BP9346BW,R87,47.8
SQ1644NZ,R87,45.6
EA3274EA,R87,47.0
LI7236GM,R87,48.0
ID1652KB,R87,47.6
HB5186CJ,R87,47.7
WH5243BB,R87,45.0
CO9492GJ,R87,49.5
VB5211JA,R87,49.7
PZ1718BH,R87,48.3
KL3979QJ,R87,47.4
WO1798IJ,R87,49.7
DS1241LV,R87,48.5
IE4363DE,R87,48.1
MU3110ES,R87,50.1
BM4794MV,R87,49.5
WD6280TP,R87,40.9
PQ6751TT,R87,44.5
HR9612LE,R87,48.5
FS3816UA,R87,47.4
PJ3891FJ,R87,46.0
FR6519TP,R87,48.1
DK1001UW,R87,47.7
DN8626ZO,R87,47.2
YP7731HV,R87,47.5
IN7558UF,R87,49.9
BD4393LW,R87,50.0
EC7989NG,R87,44.7
DR9922DT,R87,47.6
OB4358JQ,R87,49.4
JG2752VF,R87,47.7
SX6741NI,R87,48.6
CO2316DU,R87,47.2
BY5051SH,R87,51.5
RE4985DX,R87,49.4
OJ5208DV,R87,45.7
ZF9448CV,R87,48.8
JC4399OB,R87,46.3
FG6107UV,R87,44.8
OG2608MK,R87,44.0
QP5410JE,R87,50.2
WK9765ZR,R87,47.4
JY9127LA,R87,47.0
XT8578SO,R87,49.6
RW3333TT,R87,46.6
